Date,IDRA,GILD
2007-06-12,7.94,18.765816603231
2007-06-13,7.48,19.103468143735
2007-06-14,7.58,19.174802976236
2007-06-15,7.73,19.219981703486
2007-06-18,7.46,19.143891215485
2007-06-19,7.5,19.212848220236
2007-06-20,7.27,18.808617502731
2007-06-21,6.4,18.868063196482
2007-06-22,6.66,18.661192182229
2007-06-25,7.05,18.412709182351
2007-06-26,7.22,18.451943340227
2007-06-27,7.43,18.927508890233
2007-06-28,7.35,18.827640124732
2007-06-29,7.16,18.451895783672
2007-07-02,6.57,18.70874873723
2007-07-03,6.69,18.570834727728
2007-07-05,6.54,18.537545139228
2007-07-06,6.94,18.604124316229
2007-07-09,6.56,18.72301570373
2007-07-10,6.67,18.956042823233
2007-07-11,6.76,18.889463646232
2007-07-12,6.84,18.994088067234
2007-07-13,6.98,19.003599378234
2007-07-16,6.88,18.841907091232
2007-07-17,6.89,18.656484083284
2007-07-18,6.82,18.70874873723
2007-07-19,6.93,19.222359531236
2007-07-20,6.72,18.428165062727
2007-07-23,6.75,18.071490900222
2007-07-24,6.52,18.004864166666
2007-07-25,6.85,18.033445656222
2007-07-26,6.87,17.724328048718
2007-07-27,6.9,17.576902728216
2007-07-30,6.76,17.795662881219
2007-07-31,6.9,17.705305426718
2007-08-01,6.47,17.643481905217
2007-08-02,6.73,17.933576890721
2007-08-03,6.7,17.562635761716
2007-08-06,6.75,18.142825732723
2007-08-07,6.7,18.004864166666
2007-08-08,6.58,18.271228431225
2007-08-09,6.64,17.743350670718
2007-08-10,6.85,17.624411726662
2007-08-13,6.94,17.790907225719
2007-08-14,6.93,17.91455426872
2007-08-15,6.69,17.981133445721
2007-08-16,6.46,17.88126468022
2007-08-17,6.95,18.071490900222
2007-08-20,7.4,17.985889101221
2007-08-21,7.31,17.943088201721
2007-08-22,8.05,17.828952469719
2007-08-23,8.18,17.681527149217
2007-08-24,8.97,17.733839359718
2007-08-27,8.85,17.467522651715
2007-08-28,8.85,16.963423168709
2007-08-29,8.85,17.144138077711
2007-08-30,8.75,17.186938977211
2007-08-31,8.55,17.296319053713
2007-09-04,8.85,17.657748871717
2007-09-05,8.85,17.343875608713
2007-09-06,9.05,17.87650902472
2007-09-07,9.05,17.90979861322
2007-09-10,9.1,17.809929847719
2007-09-11,8.72,18.123803110723
2007-09-12,8.32,18.190382287724
2007-09-13,8.65,18.309273675225
2007-09-14,8.8,18.081002211222
2007-09-17,8.48,17.705305426718
2007-09-18,8.15,18.323540641725
2007-09-19,8.2,18.375852852226
2007-09-20,8.33,18.765816603231
2007-09-21,8.25,19.084445521735
2007-09-24,8.3,18.913241923733
2007-09-25,8.4,19.365029196238
2007-09-26,8.27,19.403074440239
2007-09-27,8.67,19.55525541624
2007-09-28,8.8,19.436364028739
2007-10-01,8.95,19.911929578745
2007-10-02,8.95,19.686511508042
2007-10-03,9.08,19.645612870742
2007-10-04,9.05,19.745481636243
2007-10-05,9.2,20.025351962421
2007-10-08,9.68,19.598056315741
2007-10-09,10.19,20.016553999746
2007-10-10,10.5,20.439807339251
2007-10-11,10.3,20.125934076247
