Date,Open,High,Low,Close,Adj Close,Volume
2005-12-01,5.520000,5.920000,4.000000,0.610000,4.880000,521600
2006-01-01,4.800000,5.520000,4.000000,0.590000,4.720000,242600
2006-02-01,4.720000,4.800000,4.240000,0.550000,4.400000,196400
2006-03-01,4.240000,5.520000,4.160000,0.630000,5.040000,454700
2006-04-01,5.040000,5.440000,4.720000,0.620000,4.960000,262000
2006-05-01,4.800000,4.960000,1.600000,0.360000,2.880000,675400
2006-06-01,2.960000,4.800000,2.720000,0.507500,4.060000,488200
2006-07-01,4.060000,4.870000,2.680000,2.800000,2.800000,277000
2006-08-01,2.810000,3.700000,2.310000,3.480000,3.480000,484800
2006-09-01,3.500000,4.130000,3.000000,4.100000,4.100000,319100
2006-10-01,4.240000,4.350000,3.690000,3.790000,3.790000,670700
2006-11-01,3.850000,5.580000,3.650000,5.000000,5.000000,1342200
2006-12-01,4.990000,6.990000,4.350000,5.390000,5.390000,1674900
2007-01-01,5.320000,8.900000,5.220000,8.550000,8.550000,2697800
2007-02-01,8.470000,9.500000,7.770000,7.920000,7.920000,2071700
2007-03-01,7.730000,9.000000,6.810000,8.590000,8.590000,1325600
2007-04-01,8.630000,9.950000,8.600000,9.000000,9.000000,1342800
2007-05-01,8.940000,9.120000,8.330000,8.510000,8.510000,876700
2007-06-01,8.450000,8.550000,6.250000,7.160000,7.160000,1285900
2007-07-01,7.030000,7.030000,6.450000,6.900000,6.900000,508600
2007-08-01,6.900000,9.050000,6.210000,8.550000,8.550000,1529800
2007-09-01,8.500000,9.220000,7.790000,8.800000,8.800000,1097700
2007-10-01,8.950000,12.990000,8.860000,11.500000,11.500000,2514800
2007-11-01,11.600000,12.990000,10.550000,12.150000,12.150000,2023000
2007-12-01,11.980000,13.100000,10.400000,13.100000,13.100000,2225800
2008-01-01,13.420000,13.600000,7.650000,10.170000,10.170000,1724100
2008-02-01,10.430000,11.400000,9.570000,10.220000,10.220000,1221300
2008-03-01,9.990000,10.500000,8.930000,10.010000,10.010000,1169900
2008-04-01,10.020000,14.000000,9.880000,13.800000,13.800000,2017700
2008-05-01,13.940000,15.600000,13.060000,15.000000,15.000000,1469500
2008-06-01,15.000000,15.500000,13.010000,14.610000,14.610000,3388500
2008-07-01,14.470000,15.400000,12.680000,14.790000,14.790000,2947100
2008-08-01,14.980000,15.000000,13.610000,14.620000,14.620000,1644400
2008-09-01,14.700000,14.700000,10.900000,14.070000,14.070000,1608500
2008-10-01,12.580000,14.500000,8.110000,9.720000,9.720000,2507600
2008-11-01,9.630000,9.970000,5.590000,7.030000,7.030000,1623100
2008-12-01,6.910000,9.140000,5.890000,7.680000,7.680000,1712300
2009-01-01,7.710000,9.190000,6.620000,7.000000,7.000000,754500
2009-02-01,6.950000,7.790000,5.350000,5.580000,5.580000,851100
2009-03-01,5.590000,7.790000,4.500000,6.470000,6.470000,1536800
2009-04-01,6.430000,6.760000,5.340000,6.010000,6.010000,1141400
2009-05-01,6.130000,6.540000,5.020000,5.430000,5.430000,855900
2009-06-01,5.520000,7.460000,5.170000,5.860000,5.860000,1492400
2009-07-01,5.930000,7.340000,5.200000,6.450000,6.450000,838800
2009-08-01,6.490000,8.110000,6.350000,7.590000,7.590000,1059600
2009-09-01,7.520000,8.020000,7.090000,7.410000,7.410000,835300
2009-10-01,7.570000,8.500000,5.170000,5.340000,5.340000,846300
2009-11-01,5.350000,6.100000,4.510000,4.930000,4.930000,1262600
2009-12-01,4.960000,5.320000,4.480000,5.170000,5.170000,951700
2010-01-01,5.260000,6.140000,4.700000,4.790000,4.790000,962800
2010-02-01,4.810000,4.990000,4.500000,4.790000,4.790000,557900
2010-03-01,4.800000,6.330000,4.780000,6.210000,6.210000,1098800
2010-04-01,6.260000,7.320000,5.550000,6.260000,6.260000,880800
2010-05-01,6.270000,6.670000,3.660000,3.760000,3.760000,1594500
2010-06-01,3.850000,4.290000,3.020000,3.600000,3.600000,5126800
2010-07-01,3.600000,3.880000,3.080000,3.690000,3.690000,803800
2010-08-01,3.780000,3.800000,3.120000,3.420000,3.420000,456100
2010-09-01,3.400000,3.590000,3.130000,3.290000,3.290000,257000
2010-10-01,3.320000,3.540000,2.670000,2.760000,2.760000,863400
2010-11-01,2.780000,2.920000,2.440000,2.480000,2.480000,967600
2010-12-01,2.500000,2.940000,2.350000,2.890000,2.890000,1102000
2011-01-01,2.960000,3.730000,2.750000,2.820000,2.820000,828600
2011-02-01,2.860000,3.100000,2.410000,2.650000,2.650000,414100
2011-03-01,2.640000,2.960000,2.340000,2.640000,2.640000,689300
2011-04-01,2.670000,2.740000,2.320000,2.600000,2.600000,727000
2011-05-01,2.590000,2.680000,2.420000,2.420000,2.420000,280100
2011-06-01,2.410000,2.500000,2.000000,2.150000,2.150000,1016200
2011-07-01,2.160000,2.240000,1.730000,1.930000,1.930000,395900
2011-08-01,1.960000,1.990000,1.700000,1.720000,1.720000,382500
2011-09-01,1.750000,1.950000,1.020000,1.180000,1.180000,198400
2011-10-01,1.110000,1.900000,0.950000,1.640000,1.640000,361900
2011-11-01,1.610000,2.040000,1.140000,1.310000,1.310000,1091300
2011-12-01,1.410000,1.420000,0.970000,1.050000,1.050000,1002400
2012-01-01,1.070000,1.240000,1.050000,1.060000,1.060000,409500
2012-02-01,1.060000,1.600000,1.040000,1.280000,1.280000,953800
2012-03-01,1.250000,2.090000,1.180000,1.730000,1.730000,1295600
2012-04-01,1.730000,2.190000,1.330000,1.360000,1.360000,2438700
2012-05-01,1.390000,1.420000,1.000000,1.020000,1.020000,606400
2012-06-01,1.030000,1.150000,0.830000,1.060000,1.060000,414900
2012-07-01,1.100000,1.220000,1.000000,1.020000,1.020000,211300
2012-08-01,1.010000,1.120000,0.880000,1.120000,1.120000,202400
2012-09-01,1.120000,1.120000,0.910000,1.030000,1.030000,216100
2012-10-01,1.010000,1.100000,0.730000,0.910000,0.910000,522500
2012-11-01,0.870000,0.990000,0.650000,0.740000,0.740000,316400
2012-12-01,0.660000,1.150000,0.660000,0.890000,0.890000,1426700
2013-01-01,0.920000,0.920000,0.690000,0.720000,0.720000,999200
2013-02-01,0.700000,0.800000,0.660000,0.720000,0.720000,1442800
2013-03-01,0.750000,0.770000,0.190000,0.500000,0.500000,1513000
2013-04-01,0.550000,0.790000,0.430000,0.790000,0.790000,2060000
